PlayerID,Lname,Fname,Year,Conference,League
abdulka01,Abdul-Jabbar,Kareem,1978,West,NBA
abdulka01,Abdul-Jabbar,Kareem,1969,East,NBA
abdulka01,Abdul-Jabbar,Kareem,1988,West,NBA
abdulka01,Abdul-Jabbar,Kareem,1987,West,NBA
abdulka01,Abdul-Jabbar,Kareem,1986,West,NBA
abdulka01,Abdul-Jabbar,Kareem,1985,West,NBA
abdulka01,Abdul-Jabbar,Kareem,1984,West,NBA
abdulka01,Abdul-Jabbar,Kareem,1983,West,NBA
abdulka01,Abdul-Jabbar,Kareem,1982,West,NBA
abdulka01,Abdul-Jabbar,Kareem,1980,West,NBA
abdulka01,Abdul-Jabbar,Kareem,1979,West,NBA
abdulka01,Abdul-Jabbar,Kareem,1976,West,NBA
abdulka01,Abdul-Jabbar,Kareem,1975,West,NBA
abdulka01,Abdul-Jabbar,Kareem,1974,West,NBA
abdulka01,Abdul-Jabbar,Kareem,1973,West,NBA
abdulka01,Abdul-Jabbar,Kareem,1972,West,NBA
abdulka01,Abdul-Jabbar,Kareem,1971,West,NBA
abdulka01,Abdul-Jabbar,Kareem,1970,West,NBA
abdulka01,Abdul-Jabbar,Kareem,1981,West,NBA
abdursh01,A-Rahim,Shareef,2001,East,NBA
adamsal01,Adams,Alvan,1975,West,NBA
adamsmi01,Adams,Michael,1991,East,NBA
aguirma01,Aguirre,Mark,1987,West,NBA
aguirma01,Aguirre,Mark,1986,West,NBA
aguirma01,Aguirre,Mark,1983,West,NBA
aingeda01,Ainge,Danny,1987,East,NBA
allenra02,Allen,Ray,2001,East,NBA
allenra02,Allen,Ray,2000,East,NBA
allenra02,Allen,Ray,1999,East,NBA
allenra02,Allen,Ray,2003,West,NBA
allenra02,Allen,Ray,2008,East,NBA
allenra02,Allen,Ray,2007,East,NBA
allenra02,Allen,Ray,2004,West,NBA
allenra02,Allen,Ray,2005,West,NBA
allenra02,Allen,Ray,2006,West,NBA
anderke02,Anderson,Kenny,1993,East,NBA
anthoca01,Anthony,Carmelo,2009,West,NBA
anthoca01,Anthony,Carmelo,2006,West,NBA
antonca01,Anthony,Carmelo,2007,West,NBA
archina01,Archibald,Nate,1980,East,NBA
archina01,Archibald,Nate,1979,East,NBA
archina01,Archibald,Nate,1975,West,NBA
archina01,Archibald,Nate,1974,West,NBA
archina01,Archibald,Nate,1972,West,NBA
archina01,Archibald,Nate,1981,East,NBA
arenagi01,Arenas,Gilbert,2006,East,NBA
arenagi01,Arenas,Gilbert,2004,East,NBA
arenagi01,Arenas,Gilbert,2005,East,NBA
arizipa01,Arizin,Paul,1950,East,NBA
arizipa01,Arizin,Paul,1961,East,NBA
arizipa01,Arizin,Paul,1960,East,NBA
arizipa01,Arizin,Paul,1959,East,NBA
arizipa01,Arizin,Paul,1958,East,NBA
arizipa01,Arizin,Paul,1957,East,NBA
arizipa01,Arizin,Paul,1956,East,NBA
arizipa01,Arizin,Paul,1955,East,NBA
arizipa01,Arizin,Paul,1954,East,NBA
arizipa01,Arizin,Paul,1951,East,NBA
armstbj01,Armstrong,B.J.,1993,East,NBA
artesro01,Artest,Ron,2003,East,NBA
bakervi01,Baker,Vin,1996,East,NBA
bakervi01,Baker,Vin,1995,East,NBA
bakervi01,Baker,Vin,1994,East,NBA
bakervi01,Baker,Vin,1997,West,NBA
barklch01,Barkley,Charles,1996,West,NBA
barklch01,Barkley,Charles,1991,East,NBA
barklch01,Barkley,Charles,1990,East,NBA
barklch01,Barkley,Charles,1989,East,NBA
barklch01,Barkley,Charles,1988,East,NBA
barklch01,Barkley,Charles,1987,East,NBA
barklch01,Barkley,Charles,1986,East,NBA
barklch01,Barkley,Charles,1995,West,NBA
barklch01,Barkley,Charles,1994,West,NBA
barklch01,Barkley,Charles,1992,Weset,NBA
barksdo01,Barksdale,Don,1952,East,NBA
barnedi01,Barnett,Dick,1967,East,NBA
barnhle01,Barnhorst,Leo,1952,West,NBA
barnhle01,Barnhorst,Leo,1951,West,NBA
barroda01,Barros,Dana,1994,East,NBA
barryri01,Barry,Rick,1977,West,NBA
barryri01,Barry,Rick,1976,West,NBA
barryri01,Barry,Rick,1975,West,NBA
barryri01,Barry,Rick,1974,West,NBA
barryri01,Barry,Rick,1973,West,NBA
barryri01,Barry,Rick,1972,West,NBA
barryri01,Barry,Rick,1966,West,NBA
barryri01,Barry,Rick,1965,West,NBA
bayloel01,Baylor,Elgin,1969,West,NBA
bayloel01,Baylor,Elgin,1968,West,NBA
bayloel01,Baylor,Elgin,1967,West,NBA
bayloel01,Baylor,Elgin,1966,West,NBA
bayloel01,Baylor,Elgin,1964,West,NBA
bayloel01,Baylor,Elgin,1963,West,NBA
bayloel01,Baylor,Elgin,1962,West,NBA
bayloel01,Baylor,Elgin,1961,West,NBA
bayloel01,Baylor,Elgin,1960,West,NBA
bayloel01,Baylor,Elgin,1959,West,NBA
bayloel01,Baylor,Elgin,1958,West,NBA
beardbu01,Beard,Butch,1971,East,NBA
beardra01,Beard,Ralph,1950,West,NBA
beattze01,Beatty,Zelmo,1967,West,NBA
beattze01,Beatty,Zelmo,1965,West,NBA
bellawa01,Bellamy,Walt,1964,West,NBA
bellawa01,Bellamy,Walt,1963,West,NBA
bellawa01,Bellamy,Walt,1962,West,NBA
bellawa01,Bellamy,Walt,1961,West,NBA
billuch01,Billups,Chauncey,2009,West,NBA
billuch01,Billups,Chauncey,2008,West,NBA
billuch01,Billups,Chauncey,2005,East,NBA
billuch01,Billups,Chauncey,2006,East,NBA
billuch01,Billups,Chauncey,2007,East,NBA
bingda01,Bing,Dave,1974,West,NBA
bingda01,Bing,Dave,1973,West,NBA
bingda01,Bing,Dave,1972,West,NBA
bingda01,Bing,Dave,1970,West,NBA
bingda01,Bing,Dave,1968,East,NBA
bingda01,Bing,Dave,1967,East,NBA
bingda01,Bing,Dave,1975,East,NBA
birdla01,Bird,Larry,1991,East,NBA
birdla01,Bird,Larry,1990,East,NBA
birdla01,Bird,Larry,1989,East,NBA
birdla01,Bird,Larry,1987,East,NBA
birdla01,Bird,Larry,1986,East,NBA
birdla01,Bird,Larry,1985,East,NBA
birdla01,Bird,Larry,1984,East,NBA
birdla01,Bird,Larry,1983,East,NBA
birdla01,Bird,Larry,1982,East,NBA
birdla01,Bird,Larry,1980,East,NBA
birdla01,Bird,Larry,1979,East,NBA
birdla01,Bird,Larry,1981,East,NBA
birdsot01,Birdsong,Otis,1980,West,NBA
birdsot01,Birdsong,Otis,1979,West,NBA
birdsot01,Birdsong,Otis,1978,West,NBA
birdsot01,Birdsong,Otis,1983,East,NBA
blackro01,Blackman,Rolando,1989,West,NBA
blackro01,Blackman,Rolando,1986,West,NBA
blackro01,Blackman,Rolando,1985,West,NBA
blackro01,Blackman,Rolando,1984,West,NBA
blaylmo01,Blaylock,Mookie,1993,East,NBA
blockjo01,Block,John,1972,East,NBA
boozebo01,Boozer,Bob,1967,West,NBA
boozeca01,Boozer,Carlos,2007,West,NBA
borylvi01,Boryla,Vince,1950,East,NBA
boshch01,Bosh,Chris,2009,East,NBA
boshch01,Bosh,Chris,2007,East,NBA
boshch01,Bosh,Chris,2006,East,NBA
boshch01,Bosh,Chris,2005,East,NBA
bradlbi01,Bradley,Bill,1972,East,NBA
brandel01,Brand,Elton,2001,West,NBA
brandel01,Brand,Elton,2005,West,NBA
brandte01,Brandon,Terrell,1996,East,NBA
brandte01,Brandon,Terrell,1995,East,NBA
braunca01,Braun,Carl,1956,East,NBA
braunca01,Braun,Carl,1955,East,NBA
braunca01,Braun,Carl,1954,East,NBA
braunca01,Braun,Carl,1953,East,NBA
braunca01,Braun,Carl,1952,East,NBA
brianfr01,Brian,Frank,1951,West,NBA
brianfr01,Brian,Frank,1950,West,NBA
bridgbi01,Bridges,Bill,1969,West,NBA
bridgbi01,Bridges,Bill,1967,West,NBA
bridgbi01,Bridges,Bill,1966,West,NBA
brownfr01,Brown,Fred,1975,West,NBA
bryanko01,Bryant,Kobe,2008,West,NBA
bryanko01,Bryant,Kobe,2003,West,NBA
bryanko01,Bryant,Kobe,2002,West,NBA
bryanko01,Bryant,Kobe,2001,West,NBA
bryanko01,Bryant,Kobe,2000,West,NBA
bryanko01,Bryant,Kobe,1999,West,NBA
bryanko01,Bryant,Kobe,1997,West,NBA
bryanko01,Bryant,Kobe,2005,West,NBA
bryanko01,Bryant,Kobe,2004,West,NBA
bryanko01,Bryant,Kobe,2006,West,NBA
bryanko01,Bryant,Kobe,2007,West,NBA
busedo01,Buse,Don,1976,West,NBA
butleca01,Butler,Caron,2006,East,NBA
caldwjo01,Caldwell,Joe,1969,West,NBA
caldwjo01,Caldwell,Joe,1968,West,NBA
carrau01,Carr,Austin,1973,East,NBA
carrojo01,Carroll,Joe,1986,West,NBA
cartevi01,Carter,Vince,2003,East,NBA
cartevi01,Carter,Vince,2002,East,NBA
cartevi01,Carter,Vince,2001,East,NBA
cartevi01,Carter,Vince,2000,East,NBA
cartevi01,Carter,Vince,1999,East,NBA
cartevi01,Carter,Vince,2004,East,NBA
cartevi01,Carter,Vince,2005,East,NBA
cartevi01,Carter,Vince,2006,East,NBA
cartwbi01,Cartwright,Bill,1979,East,NBA
cassesa01,Cassell,Sam,2003,West,NBA
cebalce01,Ceballos,Cedric,1994,West,NBA
chambto01,Chambers,Tom,1990,West,NBA
chambto01,Chambers,Tom,1989,West,NBA
chambto01,Chambers,Tom,1988,West,NBA
chambto01,Chambers,Tom,1986,West,NBA
chambwi01,Chamberlain,Wilt,1972,West,NBA
chambwi01,Chamberlain,Wilt,1971,West,NBA
chambwi01,Chamberlain,Wilt,1970,West,NBA
chambwi01,Chamberlain,Wilt,1968,West,NBA
chambwi01,Chamberlain,Wilt,1967,East,NBA
chambwi01,Chamberlain,Wilt,1966,East,NBA
chambwi01,Chamberlain,Wilt,1965,East,NBA
chambwi01,Chamberlain,Wilt,1961,East,NBA
chambwi01,Chamberlain,Wilt,1960,East,NBA
chambwi01,Chamberlain,Wilt,1959,East,NBA
chambwi01,Chamberlain,Wilt,1964,West,NBA
