Year,Player
2017,Anthony Davis
2017,James Harden
2017,Stephen Curry
2017,Kevin Durant
2017,Kawhi Leonard
2017,Marc Gasol
2017,Russell Westbrook
2017,Klay Thompson
2017,Gordon Hayward
2017,Draymond Green
2017,DeAndre Jordan
2017,DeMarcus Cousins
2017,DeMar DeRozan
2017,Giannis Antetokounmpo
2017,Kyrie Irving
2017,LeBron James
2017,Jimmy Butler
2017,Paul George
2017,John Wall
2017,Kemba Walker
2017,Carmelo Anthony
2017,Isaiah Thomas
2017,Kyle Lowry
2017,Paul Millsap
2018,LeBron James
2018,Kevin Durant
2018,Russell Westbrook
2018,Kyrie Irving
2018,Anthony Davis
2018,Paul George
2018,Andre Drummond
2018,Bradley Beal
2018,Victor Oladipo
2018,Kemba Walker
2018,Goran Dragić
2018,LaMarcus Aldridge
2018,James Harden
2018,DeMar DeRozan
2018,Stephen Curry
2018,Giannis Antetokounmpo
2018,Joel Embiid
2018,Kyle Lowry
2018,Klay Thompson
2018,Damian Lillard
2018,Draymond Green
2018,Karl-Anthony Towns
2018,Al Horford
2019,LeBron James
2019,James Harden
2019,Kevin Durant
2019,Kyrie Irving
2019,Kawhi Leonard
2019,Damian Lillard
2019,Klay Thompson
2019,Bradley Beal
2019,Ben Simmons
2019,Karl-Anthony Towns
2019,LaMarcus Aldridge
2019,Dwyane Wade
2019,Anthony Davis
2019,Stephen Curry
2019,Giannis Antetokounmpo
2019,Paul George
2019,Joel Embiid
2019,Kemba Walker
2019,Khris Middleton
2019,Blake Griffin
2019,Russell Westbrook
2019,Nikola Jokić
2019,Kyle Lowry
2019,D'Angelo Russell
2019,Nikola Vučević
2019,Dirk Nowitzki
2020,Kawhi Leonard
2020,Anthony Davis
2020,LeBron James
2020,James Harden
2020,Luka Dončić
2020,Ben Simmons
2020,Russell Westbrook
2020,Chris Paul
2020,Devin Booker
2020,Domantas Sabonis
2020,Jayson Tatum
2020,Nikola Jokić
2020,Giannis Antetokounmpo
2020,Kemba Walker
2020,Joel Embiid
2020,Pascal Siakam
2020,Trae Young
2020,Kyle Lowry
2020,Khris Middleton
2020,Rudy Gobert
2020,Donovan Mitchell
2020,Jimmy Butler
2020,Bam Adebayo
2020,Brandon Ingram
