,1stAS_yr,Player
48,1951,Paul Arizin
142,1951,Vince Boryla
750,1951,Ed Macauley
379,1951,Larry Foust
272,1951,Bob Davies
401,1951,Harry Gallatin
474,1951,Alex Groza
1030,1951,Jim Pollard
99,1951,Ralph Beard
1012,1951,Andy Phillip
158,1951,Frank Brian
1139,1951,Dolph Schayes
231,1951,Bob Cousy
850,1951,Vern Mikkelsen
1102,1951,Red Rocha
846,1951,George Mikan
833,1951,Dick McGuire
398,1951,Joe Fulks
1138,1951,Fred Schaus
336,1951,Dike Eddleman
1155,1952,Fred Scolari
1068,1952,Arnie Risen
77,1952,Leo Barnhorst
1405,1952,Max Zaslofsky
1314,1952,Paul Walther
1321,1952,Bob Wanzer
400,1953,Billy Gabor
807,1953,Slater Martin
74,1953,Don Barksdale
578,1953,Mel Hutchins
1165,1953,Paul Seymour
647,1953,Neil Johnston
1174,1953,Bill Sharman
156,1953,Carl Braun
1227,1954,Don Sunderlage
375,1954,Ray Felix
998,1955,Bob Pettit
1403,1955,George Yardley
220,1955,Jack Coleman
1162,1955,Frank Selvy
499,1956,Bob Harrison
688,1956,John Kerr
429,1956,Jack George
1221,1956,Maurice Stokes
736,1956,Clyde Lovellette
218,1957,Nat Clifton
1269,1957,Jack Twyman
411,1957,Dick Garmaker
541,1957,Tom Heinsohn
1051,1957,Richie Regan
1160,1958,Ken Sears
1180,1958,Gene Shue
1129,1958,Bill Russell
486,1958,Cliff Hagan
230,1958,Larry Costello
480,1958,Richie Guerin
918,1958,Willie Naulls
1137,1959,Woody Sauldsbery
97,1959,Elgin Baylor
204,1960,Wilt Chamberlain
450,1960,Tom Gola
921,1960,Chuck Noble
573,1960,Ron Hundley
314,1960,Walter Dukes
574,1961,Rod Hundley
536,1961,Tom Heinsohm
566,1961,Bailey Howell
344,1961,Wayne Embry
1343,1961,Jerry West
473,1961,Hal Greer
1083,1961,Oscar Robertson
462,1962,Johnny Green
659,1962,Sam Jones
105,1962,Walt Bellamy
723,1962,Rudy LaRusso
1107,1963,Guy Rodgers
295,1963,Terry Dischinger
936,1963,Don Ohl
1364,1963,Lenny Wilkens
1166,1963,Lee Shaffer
845,1963,Tom Meschery
744,1964,Jerry Lucas
1302,1964,Chet Walker
208,1964,Len Chappell
1370,1964,Len Wilkens
1050,1965,Willis Reed
613,1965,Gus Johnson
1254,1965,Nate Thurmond
592,1965,Lucious Jackson
101,1966,Zelmo Beatty
1192,1966,Adrian Smith
288,1966,Dave DeBusschere
86,1966,Rick Barry
513,1966,John Havlicek
856,1966,Eddie Miles
1191,1967,Jerry Sloan
581,1967,Darrall Imhoff
161,1967,Bill Bridges
702,1968,Jim King
535,1968,Walt Hazzard
726,1968,Clyde Lee
706,1968,Don Kojis
75,1968,Dick Barnett
116,1968,Dave Bing
140,1968,Bob Boozer
217,1968,Archie Clark
177,1969,Joe Caldwell
455,1969,Gail Goodrich
823,1969,Jon McGlocklin
524,1969,Elvin Hayes
256,1969,Billy Cunningham
895,1969,Jeff Mullins
878,1969,Earl Monroe
1273,1969,Wes Unseld
572,1969,Lou Hudson
1277,1969,Dick Van Arsdale
1,1970,Kareem Abdul-Jabbar
1304,1970,Jimmy Walker
1280,1970,Tom Van Arsdale
517,1970,Connie Hawkins
1117,1970,Bob Rule
396,1970,Walt Frazier
1097,1970,Flynn Robinson
615,1971,John Johnson
997,1971,Geoff Petrie
735,1971,Bob Love
1350,1971,Jo Jo White
677,1971,Bob Kauffman
1359,1972,Sidney Wicks
797,1972,Jack Marin
1130,1972,Cazzie Russell
534,1972,Spencer Haywood
250,1972,Dave Cowens
1189,1972,Paul Silas
719,1972,Bob Lanier
98,1972,Butch Beard
791,1973,Pete Maravich
43,1973,Nate Archibald
1158,1973,Charlie Scott
147,1973,Bill Bradley
259,1973,Bob Dandridge
139,1973,John Block
1354,1973,Jo White
213,1974,Phil Chenier
178,1974,Austin Carr
816,1974,Bob McAdoo
1259,1974,Rudy Tomjanovich
1286,1974,Norm Van Lier
707,1975,Sam Lacey
1036,1975,Jim Price
871,1975,Steve Mix
1196,1976,Randy Smith
1194,1976,Phil Smith
224,1976,Doug Collins
822,1976,George McGinnis
1360,1976,Jamaal Wilkes
1391,1976,Brian Winters
20,1976,Alvan Adams
1114,1976,Curtis Rowe
1328,1976,Scott Wedman
162,1976,Fred Brown
300,1976,John Drew
1347,1977,Paul Westphal
1316,1977,Bill Walton
704,1977,Billy Knight
1244,1977,David Thompson
1355,1977,Jo Jo
437,1977,George Gervin
649,1977,Bobby Jones
362,1977,Julius Erving
582,1977,Dan Issel
174,1977,Don Buse
749,1977,Maurice Lucas
442,1978,Artis Gilmore
685,1978,Larry Kenon
550,1978,Lionel Hollins
283,1978,Walter Davis
1100,1978,Truck Robinson
781,1978,Moses Malone
1131,1979,Campy Russell
896,1979,Calvin Murphy
1186,1979,Jack Sikma
606,1979,Dennis Johnson
132,1979,Otis Birdsong
627,1979,Marques Johnson
188,1980,Bill Cartwright
397,1980,Lloyd Free
265,1980,Adrian Dantley
608,1980,Eddie Johnson
128,1980,Larry Bird
637,1980,Magic Johnson
1113,1980,Dan Roundfield
1322,1980,Kermit Washington
1057,1980,Michael Ray Richardson
870,1981,Mike Mitchell
978,1981,Robert Parish
1101,1981,Leonard Robinson
1230,1981,Reggie Theus
1175,1982,Lonnie Shelton
1058,1982,Micheal Ray Richardson
352,1982,Alex English
1241,1982,Isiah Thomas
1386,1982,Gus Williams
1263,1982,Kelly Tripucka
698,1982,Bernard King
876,1982,Sidney Moncrief
1383,1982,Buck Williams
920,1982,Norm Nixon
1282,1983,Kiki Vandeweghe
986,1983,Jim Paxson
211,1983,Maurice Cheeks
1246,1983,David Thomspon
712,1983,Bill Laimbeer
1261,1983,Andrew Toney
844,1984,Kevin McHale
463,1984,Rickey Green
24,1984,Mark Aguirre
1136,1984,Ralph Sampson
1132,1984,Jeff Rutland
137,1985,Rolando Blackman
914,1985,Calvin Natt
907,1985,Larry Nance
