,Player,Year,Age,MP,G,FGA,Load,Pts/75,rTS%,Box Creation,Passer Rating,Spacing,cTOV%,ScoreVal,PlayVal,FTA/100,FT%,3p Pro,rORB%,rDREB%,OBPM,BPM,IA Pts/75,IA PPG,IA APG,IA RPG,allStar,1stAS_yr,yr2AS
0,A.C. Green,1986,22.0,1542,82,11.8,18.9,11.9,0.023,0.6,2.3,68.0,0.159,0.0,0.0,5.1,0.61,0.02,0.0,0.0,-0.4,0.4,12.2,6.1,0.6,4.6,1,1990.0,4.0
1,Aaron Brooks,2008,23.0,608,51,19.7,35.4,17.3,-0.005,5.4,4.2,119.0,0.107,-0.8,-0.4,4.3,0.86,0.33,-2.8,-6.8,-0.2,-2.0,17.8,5.3,1.8,1.1,0,,
2,Aaron McKie,1995,22.0,827,45,16.1,26.7,13.6,-0.043,2.1,5.8,95.0,0.09,-0.9,-0.1,4.5,0.69,0.27,-1.7,-0.2,0.2,1.0,13.8,6.4,1.9,2.8,0,,
3,Aaron Williams,1997,25.0,553,32,14.0,20.8,14.5,0.063,0.3,1.9,75.0,0.13,-0.3,-1.4,4.8,0.67,0.0,6.4,3.1,-0.6,-0.3,15.2,6.4,0.4,4.3,0,,
4,Adam Keefe,1993,22.0,1549,82,11.9,21.2,12.9,0.027999999999999997,0.5,3.1,76.0,0.151,-0.4,-1.0,7.5,0.7,0.0,5.4,5.9,-0.4,-0.1,13.1,6.3,0.9,4.9,0,,
5,Adonal Foyle,1998,22.0,656,55,13.6,21.1,9.9,-0.106,0.7,2.0,52.0,0.18899999999999997,-2.1,-1.6,5.0,0.44,0.0,5.2,4.9,-3.1,-2.4,10.4,3.1,0.2,3.2,0,,
6,Adrian Dantley,1977,20.0,2816,77,16.6,28.3,18.6,0.09,0.8,2.0,83.0,0.152,1.4,-0.8,9.2,0.82,,2.5,-1.5,1.1,0.0,20.7,19.5,1.7,6.7,1,1980.0,3.0
7,Adrian Smith,1962,25.0,1462,80,13.2,24.2,11.4,0.004,2.5,3.7,77.0,0.153,-0.1,-0.1,5.9,0.78,,-3.3,-7.9,-0.7,-1.4,13.3,5.8,1.8,1.0,1,1966.0,4.0
8,Al Attles,1961,24.0,1544,77,12.9,21.8,9.6,-0.028999999999999998,1.8,3.8,60.0,0.142,-0.8,-0.4,3.9,0.6,,-2.5,-6.5,-1.2,-0.8,11.6,5.8,2.0,1.5,0,,
9,Al Bianchi,1957,24.0,1577,68,15.4,24.9,11.5,-0.03,1.0,3.3,68.0,0.142,-0.6,-0.4,6.6,0.69,,-4.8,-5.3,-0.7,-1.3,14.4,9.1,2.0,2.4,0,,
10,Al Harrington,2000,19.0,854,50,15.9,25.7,14.9,0.001,1.7,2.7,96.0,0.152,-0.7,-1.1,6.7,0.7,0.18,0.6,0.0,-0.6,-0.2,15.7,6.7,0.8,3.0,0,,
11,Al Horford,2008,21.0,2540,81,13.9,21.5,12.8,-0.001,0.8,3.8,88.0,0.131,-0.4,-0.7,4.4,0.73,0.0,6.1,9.8,0.0,0.8,13.1,10.3,1.6,9.6,1,2010.0,2.0
12,Al Jefferson,2005,20.0,1051,71,18.1,26.2,17.5,0.025,1.2,1.8,69.0,0.122,-0.2,-1.4,6.6,0.63,0.0,7.8,6.7,-0.1,-0.1,18.1,6.7,0.3,4.1,0,,
13,Al-Farouq Aminu,2011,20.0,1452,81,14.5,22.5,12.2,-0.042,0.5,2.8,110.0,0.165,-1.6,-1.3,4.2,0.77,0.31,0.8,0.7,-1.5,-2.2,12.5,5.8,0.8,3.3,0,,
14,Alan Henderson,1996,23.0,1416,79,16.4,25.4,14.3,-0.06,0.5,2.8,65.0,0.13,-1.1,-1.2,7.6,0.6,0.0,7.1,2.8,-0.7,-0.1,14.6,6.5,0.6,4.5,0,,
15,Albert King,1982,22.0,1694,76,22.3,34.1,18.9,-0.021,2.2,3.1,84.0,0.14400000000000002,-0.6,-0.7,4.7,0.78,0.05,0.3,0.6,-1.5,-0.1,19.5,11.3,1.7,3.9,0,,
16,Alec Burks,2012,20.0,939,59,20.0,30.7,17.9,-0.021,1.5,5.1,100.0,0.095,-0.6,-0.4,8.0,0.73,0.28,1.5,-5.3,0.6,-1.2,18.8,7.9,1.0,2.3,0,,
17,Alex English,1977,23.0,648,60,19.0,26.1,15.9,0.0,0.3,2.5,78.0,0.11800000000000001,0.1,-0.9,4.1,0.77,,4.4,2.5,-0.1,-2.0,17.5,4.9,0.4,2.4,1,1982.0,5.0
18,Allan Bristow,1974,22.0,643,55,18.6,32.2,13.3,-0.066,1.1,5.8,75.0,0.138,-1.1,0.0,3.9,0.74,,3.6,1.5,-0.7,-2.2,15.2,4.3,1.5,2.5,0,,
