,Player,MP,Load,rTS%,Box Creation,Passer Rating,Spacing,cTOV%,ScoreVal,PlayVal,FTA/100,FT%,rORB%,rDREB%,OBPM,BPM,IA Pts/75,IA PPG,IA APG,IA RPG,allStar,1stAS_yr,yr2AS
0,A.C. Green,1542,18.9,0.023,0.6,2.3,68.0,0.159,0.0,0.0,5.1,0.61,0.0,0.0,-0.4,0.4,12.2,6.1,0.6,4.6,1,1990.0,4.0
1,Aaron Brooks,608,35.4,-0.005,5.4,4.2,119.0,0.107,-0.8,-0.4,4.3,0.86,-2.8,-6.8,-0.2,-2.0,17.8,5.3,1.8,1.1,0,,
2,Aaron McKie,827,26.7,-0.043,2.1,5.8,95.0,0.09,-0.9,-0.1,4.5,0.69,-1.7,-0.2,0.2,1.0,13.8,6.4,1.9,2.8,0,,
3,Aaron Williams,553,20.8,0.063,0.3,1.9,75.0,0.13,-0.3,-1.4,4.8,0.67,6.4,3.1,-0.6,-0.3,15.2,6.4,0.4,4.3,0,,
4,Adam Keefe,1549,21.2,0.028,0.5,3.1,76.0,0.151,-0.4,-1.0,7.5,0.7,5.4,5.9,-0.4,-0.1,13.1,6.3,0.9,4.9,0,,
6,Adrian Dantley,2816,28.3,0.09,0.8,2.0,83.0,0.152,1.4,-0.8,9.2,0.82,2.5,-1.5,1.1,0.0,20.7,19.5,1.7,6.7,1,1980.0,3.0
7,Adrian Smith,1462,24.2,0.004,2.5,3.7,77.0,0.153,-0.1,-0.1,5.9,0.78,-3.3,-7.9,-0.7,-1.4,13.3,5.8,1.8,1.0,1,1966.0,4.0
8,Al Attles,1544,21.8,-0.029,1.8,3.8,60.0,0.142,-0.8,-0.4,3.9,0.6,-2.5,-6.5,-1.2,-0.8,11.6,5.8,2.0,1.5,0,,
9,Al Bianchi,1577,24.9,-0.03,1.0,3.3,68.0,0.142,-0.6,-0.4,6.6,0.69,-4.8,-5.3,-0.7,-1.3,14.4,9.1,2.0,2.4,0,,
10,Al Harrington,854,25.7,0.001,1.7,2.7,96.0,0.152,-0.7,-1.1,6.7,0.7,0.6,0.0,-0.6,-0.2,15.7,6.7,0.8,3.0,0,,
11,Al Horford,2540,21.5,-0.001,0.8,3.8,88.0,0.131,-0.4,-0.7,4.4,0.73,6.1,9.8,0.0,0.8,13.1,10.3,1.6,9.6,1,2010.0,2.0
